"Year","State","Variable","Sex","Occupation","Estimate"
"2010","Colorado","B24020_033","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers",1754
"2010","Colorado","B24020_034","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians",1648
"2010","Connecticut","B24020_019","Male","Computer, engineering, and science occupations:",63600
"2010","Connecticut","B24020_020","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:",30504
"2010","Connecticut","B24020_021","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:",27745
"2010","Connecticut","B24020_022","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts",3529
"2010","Connecticut","B24020_023","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers",12837
"2010","Connecticut","B24020_024","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects",3337
"2010","Connecticut","B24020_025","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists",8042
"2010","Connecticut","B24020_026","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations",2759
"2010","Connecticut","B24020_027","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:",26289
"2010","Connecticut","B24020_028","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers",2028
"2010","Connecticut","B24020_029","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers",19346
"2010","Connecticut","B24020_030","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians",4915
"2010","Connecticut","B24020_031","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:",6807
"2010","Connecticut","B24020_032","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists",3694
