"Year","GEOID","NAME","variable","estimate","moe","sex","label"
"2010","12","Florida","B24020_028",4669,942,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers"
"2010","12","Florida","B24020_029",53831,3804,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers"
"2010","12","Florida","B24020_030",21620,2289,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians"
"2010","12","Florida","B24020_031",19220,2427,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:"
"2010","12","Florida","B24020_032",9645,1629,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists"
"2010","12","Florida","B24020_033",3783,1050,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers"
"2010","12","Florida","B24020_034",5792,1496,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians"
"2010","13","Georgia","B24020_019",125064,5808,"Male","Computer, engineering, and science occupations:"
"2010","13","Georgia","B24020_020",67907,4430,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:"
"2010","13","Georgia","B24020_021",65047,4436,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:"
"2010","13","Georgia","B24020_022",10139,1919,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts"
"2010","13","Georgia","B24020_023",27741,3113,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers"
"2010","13","Georgia","B24020_024",10519,1844,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects"
"2010","13","Georgia","B24020_025",16648,2184,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists"
"2010","13","Georgia","B24020_026",2860,915,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations"
"2010","13","Georgia","B24020_027",45819,3770,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:"
"2010","13","Georgia","B24020_028",3767,860,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers"
"2010","13","Georgia","B24020_029",31093,3227,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers"
"2010","13","Georgia","B24020_030",10959,1747,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians"
"2010","13","Georgia","B24020_031",11338,1780,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:"
"2010","13","Georgia","B24020_032",6878,1379,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists"
"2010","13","Georgia","B24020_033",1653,642,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers"
"2010","13","Georgia","B24020_034",2807,893,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians"
"2010","15","Hawaii","B24020_019",16787,1863,"Male","Computer, engineering, and science occupations:"
"2010","15","Hawaii","B24020_020",6857,1284,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:"
"2010","15","Hawaii","B24020_021",6546,1301,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:"
"2010","15","Hawaii","B24020_022",647,302,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts"
"2010","15","Hawaii","B24020_023",1152,531,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers"
"2010","15","Hawaii","B24020_024",1063,454,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects"
"2010","15","Hawaii","B24020_025",3684,1265,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists"
"2010","15","Hawaii","B24020_026",311,239,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations"
"2010","15","Hawaii","B24020_027",8018,1391,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:"
"2010","15","Hawaii","B24020_028",829,433,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers"
"2010","15","Hawaii","B24020_029",5145,1114,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers"
"2010","15","Hawaii","B24020_030",2044,771,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians"
"2010","15","Hawaii","B24020_031",1912,567,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:"
"2010","15","Hawaii","B24020_032",1334,469,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists"
"2010","15","Hawaii","B24020_033",438,318,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers"
"2010","15","Hawaii","B24020_034",140,145,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians"
"2010","16","Idaho","B24020_019",23918,2184,"Male","Computer, engineering, and science occupations:"
"2010","16","Idaho","B24020_020",8566,1460,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:"
"2010","16","Idaho","B24020_021",8357,1479,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:"
"2010","16","Idaho","B24020_022",1231,526,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts"
"2010","16","Idaho","B24020_023",3781,1093,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers"
"2010","16","Idaho","B24020_024",1119,549,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects"
"2010","16","Idaho","B24020_025",2226,857,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists"
"2010","16","Idaho","B24020_026",209,241,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations"
"2010","16","Idaho","B24020_027",10119,1377,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:"
"2010","16","Idaho","B24020_028",619,484,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers"
"2010","16","Idaho","B24020_029",7403,1267,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers"
